"partition","site","year","survey_count"
"global","9vq589y3e7g2",1998,2262
"global","9vq589y3e7g2",1994,1583
"global","9vq589y3e7g2",2014,1645
"global","8x1z1t77473z",2014,19
"global","87995i9l448a",2013,337
"global","87995i9l448a",2002,70
"global","y8i9fx7sr7nd",2006,0
"global","y8i9fx7sr7nd",1978,100
"global","057jule1x010",2002,200
"global","5xqe6hr66a9z",1977,14656
"global","5xqe6hr66a9z",1990,17341
"global","5xqe6hr66a9z",1996,13021
"global","5xqe6hr66a9z",1976,26734
"global","5xqe6hr66a9z",2013,20090
"global","5xqe6hr66a9z",2015,14284
"global","5xqe6hr66a9z",1988,21051
"global","5xqe6hr66a9z",2002,24103
"global","5xqe6hr66a9z",1993,18864
"global","5xqe6hr66a9z",1987,12698
"global","5xqe6hr66a9z",2006,35409
"global","q4ko6885wymh",1990,14
"global","q4ko6885wymh",2002,20
"global","q4ko6885wymh",2009,49
"global","z67f038c4104",1998,55
"global","z67f038c4104",2009,255
"global","z67f038c4104",2014,30
"global","d8wu9nlf8z85",2014,503
"global","d8wu9nlf8z85",2009,843
"global","d8wu9nlf8z85",2002,800
"global","d8wu9nlf8z85",2006,4635
"global","54p3f2618vow",2002,65811
"global","54p3f2618vow",1989,30889
"global","54p3f2618vow",1976,118640
"global","54p3f2618vow",2013,13084
"global","54p3f2618vow",2006,70406
"global","54p3f2618vow",2014,15201
"global","54p3f2618vow",1986,55153
"global","54p3f2618vow",1994,52151
"global","61nxt86l6311",1976,2718
"global","61nxt86l6311",2014,6087
"global","61nxt86l6311",1986,467
"global","61nxt86l6311",1994,1672
"global","61nxt86l6311",2000,1631
"global","61nxt86l6311",1992,980
"global","61nxt86l6311",1998,2015
"global","61nxt86l6311",2006,1472
"global","239113mmx3qm",1999,2855
"global","239113mmx3qm",1990,2897
"global","239113mmx3qm",1976,1357
"global","239113mmx3qm",2006,1302
"global","239113mmx3qm",1987,6110
"global","239113mmx3qm",2014,4079
"global","239113mmx3qm",1994,3888
"global","239113mmx3qm",1998,1814
"global","3tk0xp04bkgt",1991,1620
"global","3tk0xp04bkgt",1999,1911
"global","3tk0xp04bkgt",2014,805
"global","3tk0xp04bkgt",1996,761
"global","3tk0xp04bkgt",2006,5486
"global","3tk0xp04bkgt",2009,1212
"global","axaq0z3pr99b",1978,1156
"global","46s31l89089m",1977,668
"global","iw22201zicd2",2002,30
"global","iw22201zicd2",2015,43
"global","iw22201zicd2",1998,20
"global","iw22201zicd2",1995,30
"global","8s22anrd4n1e",1976,300
"global","0u3q6ihvq724",2012,62
"global","58uz6x9y297j",2015,20
"global","58uz6x9y297j",2003,20
"global","58uz6x9y297j",1995,150
"global","7s98f306170z",1999,100
"global","7s98f306170z",2010,487
"global","7s98f306170z",1994,150
"global","7s98f306170z",2005,393
"global","ij88a5vpejj9",1992,215
"global","ij88a5vpejj9",1976,463
"global","ij88a5vpejj9",2005,454
"global","ij88a5vpejj9",2012,440
"global","ij88a5vpejj9",2014,621
"global","ij88a5vpejj9",2000,374
"global","w38fy716ih92",1995,229
"global","9vgos6bk6007",1998,10
"global","xg08q3539c0l",2009,19
"global","e1m98s54qf66",1995,15
"global","e1m98s54qf66",2003,10
"global","e1m98s54qf66",2015,11
"global","8tfe0kuun41a",1995,20
"global","31o5qgpvqhfh",1966,9364
"global","31o5qgpvqhfh",1995,336
"global","31o5qgpvqhfh",1976,2435
"global","31o5qgpvqhfh",2012,1616
"global","31o5qgpvqhfh",1992,601
"global","31o5qgpvqhfh",2002,692
"global","31o5qgpvqhfh",2005,516
"global","31o5qgpvqhfh",2014,1352
"global","bb4879r85066",2004,6
"global","obpjy64z8281",2002,998
"global","obpjy64z8281",1992,502
"global","obpjy64z8281",1998,800
"global","obpjy64z8281",2014,2904
"global","obpjy64z8281",2006,2959
"global","c81m5r5fc549",1976,704
"global","c81m5r5fc549",2003,20
"global","c81m5r5fc549",1994,25
"global","1o50u139ri6c",1995,30
"global","1o50u139ri6c",2015,36
"global","1o50u139ri6c",1998,30
"global","9k721o19rw56",1995,60
"global","9k721o19rw56",2013,33
"global","9k721o19rw56",1998,80
"global","9k721o19rw56",2015,27
"global","xx191m74913n",1976,2560
"global","xx191m74913n",2005,708
"global","xx191m74913n",2002,300
"global","8766675it91c",1970,8824
"global","8766675it91c",2002,1000
"global","8766675it91c",1978,5877
"global","8766675it91c",1998,5000
"global","8766675it91c",2010,0
"global","8766675it91c",2005,74
"global","14419cj0p40j",1977,200
"global","14419cj0p40j",1991,540
"global","14419cj0p40j",2008,0
"global","14419cj0p40j",2015,0
"global","k8i20047s76f",1977,300
"global","k8i20047s76f",1991,660
"global","k8i20047s76f",2008,232
"global","k8i20047s76f",2015,0
"global","59i3866a2857",1991,60
"global","59i3866a2857",2008,0
"global","59i3866a2857",2015,0
"global","7hiy409me306",1991,360
"global","7hiy409me306",2008,293
"global","7hiy409me306",2015,89
"global","26hc4ur390i6",1977,465
"global","26hc4ur390i6",2002,475
"global","26hc4ur390i6",2007,246
"global","26hc4ur390i6",1991,1071
"global","26hc4ur390i6",1996,1600
"global","75n75x7c06ft",2015,50
"global","4d4cpmxoa8h0",2014,132
"global","1jib72tqs6hh",2013,13
"global","1jib72tqs6hh",2015,7
"global","lx3r0699ax6o",2013,171
"global","v91cez42p84p",2002,150
"global","v91cez42p84p",2014,168
"global","op6g2h3tl4m4",2002,600
"global","op6g2h3tl4m4",2009,0
"global","op6g2h3tl4m4",2015,20
"global","395416c88uh3",2002,400
"global","395416c88uh3",2013,18
"global","395416c88uh3",2015,18
"global","p8v4m7hdiy50",2013,6
"global","58sl1a45d9gl",2013,63
"global","58sl1a45d9gl",2002,50
"global","mm878prvv001",2015,73
"global","mm878prvv001",2013,73
"global","mm878prvv001",2002,200
"global","w2t63412qw72",2013,6
"global","w2t63412qw72",2015,6
"global","vnkbaqog493w",2002,100
"global","vnkbaqog493w",2015,50
"global","20134den6aws",2013,30
"global","20134den6aws",2015,14
"global","338gr1d991sp",2015,20
"global","8gs60480429k",2002,500
"global","8gs60480429k",2015,0
"global","m6y1oe51x2a6",1976,1200
"global","m6y1oe51x2a6",1991,1040
"global","m6y1oe51x2a6",2000,1989
"global","m6y1oe51x2a6",2014,443
"global","m6y1oe51x2a6",2011,454
"global","m6y1oe51x2a6",2005,3885
"global","8dl60ulcgxk6",1977,955
"global","8dl60ulcgxk6",2002,350
"global","8dl60ulcgxk6",1991,611
"global","8dl60ulcgxk6",2007,344
"global","8dl60ulcgxk6",1998,950
"global","8dl60ulcgxk6",2006,498
"global","8dl60ulcgxk6",2015,253
"global","c7kiy01d1130",1992,30
"global","k1r62427156w",1989,15
"global","l9ya7mqm6ol4",2002,20
"global","l9ya7mqm6ol4",2010,0
"global","09t5i0i81l16",1998,5
"global","09t5i0i81l16",2015,0
"global","yd63yx817g5g",2015,26
"global","xp6wk1d3800m",1993,80
"global","0qaf4s1398xu",1976,150
"global","0qaf4s1398xu",1994,100
"global","0qaf4s1398xu",2015,0
"global","khyeb99o5987",1996,150
"global","3yi5edstc9o9",1993,300
"global","3yi5edstc9o9",2006,0
"global","yv47a8c51834",2011,82
"global","yv47a8c51834",1993,600
"global","yv47a8c51834",1999,328
"global","yv47a8c51834",1977,200
"global","yv47a8c51834",2006,348
"global","nxbseaw04sex",1978,3537
"global","6mf978v2eaa5",1992,60
"global","42u9324r20z2",2015,10
"global","29nl6z8jy7c7",1989,3390
"global","29nl6z8jy7c7",2005,1827
"global","29nl6z8jy7c7",2015,1437
"global","6h1osqpfd4gr",1978,1376
"global","6h1osqpfd4gr",2002,50
"global","6h1osqpfd4gr",1992,100
"global","d654ga0yr66t",1978,7400
"global","3o0w40vc9785",1973,4273
"global","3o0w40vc9785",1975,5746
"global","3o0w40vc9785",1987,12220
"global","3o0w40vc9785",1996,22053
